"trial_num","is_practice","block","condition","iti","isi","high_group_on_left","left_group_value","right_group_value","left_item_value","right_item_value","left_img","right_img","left_img_path","right_img_path"
0,0,1,"easy",1500,3000,0,20,80,40,100,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
1,0,1,"easy",1000,1000,0,20,80,0,80,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
2,0,1,"easy",1000,1500,0,20,80,20,60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
3,0,1,"hard",1000,3000,1,60,40,60,20,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
4,0,1,"easy",2000,1000,0,20,80,0,100,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
5,0,1,"hard",1500,3500,0,40,60,20,60,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
6,0,1,"easy",1000,1500,1,80,20,80,20,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
7,0,1,"easy",2000,1000,1,80,20,80,40,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
8,0,1,"easy",2000,1000,1,80,20,60,20,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
9,0,1,"easy",3000,2000,0,20,80,0,80,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
10,0,1,"easy",1500,1000,1,80,20,60,0,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
11,0,1,"hard",3000,1500,0,40,60,20,60,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
12,0,1,"hard",1000,2000,1,60,40,40,60,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
13,0,1,"hard",1000,1000,1,60,40,60,40,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
14,0,1,"hard",1500,1000,1,60,40,40,60,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
15,0,1,"hard",1000,3000,1,60,40,40,40,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
16,0,1,"hard",2000,1500,1,60,40,40,40,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
17,0,1,"easy",1000,2000,1,80,20,80,40,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
18,0,1,"hard",2000,2000,0,40,60,20,80,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
19,0,1,"hard",1500,2000,0,40,60,20,80,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
20,0,1,"hard",1000,1000,1,60,40,40,40,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
21,0,1,"easy",1500,2000,1,80,20,100,20,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
22,0,1,"hard",1500,1000,1,60,40,40,40,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
23,0,1,"easy",1000,1500,0,20,80,0,80,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
24,0,1,"hard",3000,2000,1,60,40,80,20,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
25,0,1,"hard",1000,1500,1,60,40,60,60,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
26,0,1,"hard",1500,1000,1,60,40,80,60,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
27,0,1,"easy",1500,2000,1,80,20,80,0,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
28,0,1,"easy",3500,3500,0,20,80,0,100,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
29,0,1,"hard",2000,1000,0,40,60,40,60,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
30,0,1,"easy",1000,1000,0,20,80,20,80,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
31,0,1,"hard",1000,1500,0,40,60,20,60,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
32,0,1,"easy",1500,1000,1,80,20,100,20,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
33,0,1,"easy",3000,3000,1,80,20,60,40,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
34,0,1,"easy",1000,1000,0,20,80,20,60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
35,0,1,"hard",3500,1000,0,40,60,20,80,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
36,0,1,"easy",1000,1500,1,80,20,100,0,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
37,0,1,"hard",2000,1500,0,40,60,40,80,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
38,0,1,"easy",2000,1500,1,80,20,80,20,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
39,0,1,"hard",1000,1000,0,40,60,20,40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
40,0,2,"hard",1000,1000,1,60,40,60,40,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
41,0,2,"hard",2000,2000,0,40,60,60,60,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
42,0,2,"hard",3500,3000,0,40,60,60,80,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
43,0,2,"easy",3000,1000,0,20,80,0,100,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
44,0,2,"easy",1000,1500,1,80,20,80,0,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
45,0,2,"easy",1500,1000,0,20,80,40,60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
46,0,2,"hard",3000,1000,0,40,60,60,40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
47,0,2,"easy",1500,1500,1,80,20,100,20,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
48,0,2,"hard",1500,1000,0,40,60,60,60,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
49,0,2,"hard",3000,1000,0,40,60,20,60,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
50,0,2,"easy",1000,1000,1,80,20,100,40,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
51,0,2,"easy",2000,3000,0,20,80,40,60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
52,0,2,"easy",3500,1500,1,80,20,60,20,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
53,0,2,"hard",1500,1500,1,60,40,40,40,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
