SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,Gender,GenderConsistency,Feedback
377584,A176PLYJ2VNRII,3TY7ZAOG5GUK2UTJ3I6KN0D825L0KV,2319,8/1/22 13:39,8/1/22 14:17,Approved,7,4.15,1.01,39074,,Male,100.00%,
377584,A2CWB4KQ8D4MTY,3K772S5NP9LSRU755422VXZK4PRHEU,2425,8/1/22 13:39,8/1/22 14:20,Approved,7,3.85,1.01,96155,,Female,100.00%,
377584,A1UZXOMO6BS6I2,3ZSY5X72NYLRSFYXVNHSEDV4V0VRO5,2423,8/1/22 13:41,8/1/22 14:22,Approved,7,4.66,1.01,17696,,Male,100.00%,
377584,A3GAQNTZ1V1VO,388U7OUMF8B6PY6ET2FHOCZMXXF0RO,2455,8/1/22 13:41,8/1/22 14:22,Approved,7,4.17,1.01,41416,,Male,100.00%,
377584,A2H8PEGI28NKZD,3MYYFCXHJ4HWZWF1WS871BBSC0KG4O,2636,8/1/22 13:38,8/1/22 14:22,Approved,7,3.71,1.01,76174,,Female,100.00%,
377584,A1QC9FOC31F77Z,3OCHAWUVGPUSZKZU6UVRWE0JCC6XKN,2547,8/1/22 13:40,8/1/22 14:23,Approved,7,3.74,1.01,47507,,Female,100.00%,
377584,A36GU3OHGLDS8R,38BQUHLA9XA0VZL5QFLBSE1UPDWOME,2726,8/1/22 13:39,8/1/22 14:24,Approved,7,3.94,1.01,74305,,,,
377584,A20K99JZE0L8HU,3ATPCQ38J9KBNCGIZZ44LE4W965YAE,2833,8/1/22 13:38,8/1/22 14:25,Approved,7,2.39,1.01,60555,,Male,100.00%,
377584,ARKZRVB9WN15M,3P529IW9KZVMJ4QRR01657DRX7FLFN,2855,8/1/22 13:38,8/1/22 14:26,Approved,7,4.38,1.01,92069,,Male,100.00%,
377584,ANVEC4QSKNJLF,3VBEN272ML9F1HHCMT4PZERYQGNSG7,2794,8/1/22 13:40,8/1/22 14:26,Approved,7,4.38,1.01,23629,,Male,100.00%,
377584,A1XTDB7XX5QEEH,3WMINLGALCDYK9FD37MFONCD6IPACK,2804,8/1/22 13:40,8/1/22 14:27,Approved,7,2.07,1.01,96435,,Male,100.00%,
377584,AQMLJYUQCSG22,3HOSI13XH0Y6N8O3ND8SYU21CLXDDO,2955,8/1/22 13:38,8/1/22 14:27,Approved,7,3.67,1.01,65889,,Male,100.00%,
377584,A13BQE1LOD0CUQ,3AQF3RZ559S40JNK4WV4GOVU7CSF6B,2646,8/1/22 13:44,8/1/22 14:28,Approved,7,2.53,1.01,43628,,Female,100.00%,
377584,A3BU32QBDM7DAM,3TXMY6UCAFYQ7PMUS3J1ENRIA0AQC6,2942,8/1/22 13:41,8/1/22 14:30,Approved,7,3.71,1.01,84928,,Male,100.00%,
377584,AJDXSXAWDDAEO,31JLPPHS2V4Z9DDVKXGWWFSOPMF3OD,3113,8/1/22 13:38,8/1/22 14:30,Approved,7,3.28,1.01,17987,,Male,100.00%,
377584,A10LHWALI4BZPC,3F1567XTNXFO9RFRGJ9ACXQA4F7Q9P,3099,8/1/22 13:40,8/1/22 14:32,Approved,7,2.97,1.01,69308,,Male,100.00%,
377584,AEOFJWOEXF94U,30LSNF239V50S969I2PMT8RA7ZH2I7,3122,8/1/22 13:40,8/1/22 14:32,Approved,7,2.95,1.01,70502,,Male,100.00%,
377584,A3R97T5D3RR9JX,338JKRMM279P1HQTPZ0GZE9TJATHAZ,2992,8/1/22 13:42,8/1/22 14:32,Approved,7,3.19,1.01,64641,,Male,100.00%,
377584,A4KNY0W5KXXZZ,39LOEL67OTFWOLQFDGR0ZT2OAHB83F,3220,8/1/22 13:39,8/1/22 14:32,Approved,7,3.04,1.01,75910,,Male,100.00%,
377584,A3PYB8Z6FFWSOV,3DY46V3X3QSGFIUHT18Q26QHMN2551,3137,8/1/22 13:40,8/1/22 14:32,Approved,7,3.85,1.01,39050,,Female,100.00%,
